# ldapsearch -LLL -H ldaps://localhost -b "ou=leden,dc=csrdelft,dc=nl" -x "(uid=x*)" -W -D "cn=admin,dc=csrdelft,dc=nl" | grep "^dn: " > blaat
# sed 's/^dn: //' < blaat > blaat2
# ldapdelete -H ldaps://localhost -x -W -D "cn=admin,dc=csrdelft,dc=nl" -f blaat2

# haal dit bestand door het gelijknamige php-scriptje en voer de inhoud aan ldapadd:
# ./mk_commissie_ldif.php < mk_commissie_ldif.txt > commissie.ldif
# ldapadd -H ldaps://localhost/ -W -c -x -D "cn=admin,dc=csrdelft,dc=nl" -f ./commissie.ldif

# uid;givenName;sn;cn;mail
#  als cn leeg is dan wordt het zelfde als sn
#  als email eindigt op @ wordt csrdelft.nl door het script aangevuld

x001;Bestuur;C.S.R. Delft;Bestuur C.S.R. Delft;bestuur@
x002;Praeses;C.S.R. Delft;Praeses C.S.R. Delft;praeses@
x003;Abactis;C.S.R. Delft;Abactis C.S.R. Delft;abactis@
x004;Fiscus;C.S.R. Delft;Fiscus C.S.R. Delft;fiscus@
x005;Vice-Praeses;C.S.R. Delft;Vice-Praeses C.S.R. Delft;vice-praeses@
x006;Vice-Abactis;C.S.R. Delft;Vice-Abactis C.S.R. Delft;vice-abactis@

x200;AcqCie;AcquisitieCommissie;;acqcie@
x201;ArCie;Arro Kopij Commissie;;arcie@
x202;AlmanakCie;AlmanakCommissie;;almanakcie@
x203;Alpha;Alpha Cursus;;info@studentalphadelft.nl
x204;BASFCie;Bibliotheek, Archief, Statistiek en FotoCommissie;;BASFCie@
x205;DiesCie;DiesCommissie;;diescie@
x206;LeOCie;Laudate et Orate Commissie;;leocie@
x207;Donacie;DonatieCommissie;;donacie@
x208;HappeningCie;HappeningCommissie;;happening@
x209;LustrumboekCie;LustrumboekCommissie;;lustrumboekcie@
x210;LustrumCie;LustrumCommissie;;lustrumcie@
x211;MaalCie;MaaltijdCommissie;;maalcie@
x212;MaalCie-Fiscus;MaalCie-Fiscus (Ransapen pas op!);;maalcie-fiscus@
x213;N.B.G.;Netwerk Beheer Groep;;nbg@
x214;NovCie;NovitiaatsCommissie;;novcie@
x215;OWeeCie;OWeeCommissie;;oweecie@
x216;PubCie;PubliciteitsCommissie;;pubcie@
x217;SocCie;SocieteitsCommissie;;soccie@
x218;RestauraCie;RestauratieCommissie;;restauracie@
x219;OnderhoudCie;OnderhoudCommissie;;onderhoudcie@
x220;Fotocommissaris;Fotocommissaris (BASFCie);;fotocommissaris@
x221;Archivaris;Archivaris (BASFCie);;archivaris@
x222;Bibliothecaris;Bibliothecaris (BASFCie);;bibliothecaris@
x223;Statisticus;Statisticus (BASFCie);;statisticus@
x224;Corvee;CorveeCaeser;;corvee@


x270;Bestuur Landelijk;Bestuur C.S.R. Landelijk;;landelijk@
x271;Oudleden;Oudledenbestuur;;oudleden@
x272;Stichting CC; Stichting Civitas Centrum;;stichtingcc@



x111;Verticale Archibald;Verticale Archibald;;archibald@
x112;Verticale Faculteit;Verticale Faculteit;;faculteit@
x113;Verticale Billy;Verticale Billy;;billy@
x114;Verticale Diagonaal;Verticale Diagonaal;;diagonaal@
x115;Verticale Vrøgd;Verticale Vrøgd;;vrogd@
x116;Verticale Lekker;Verticale Lekker;;lekker@
x117;Verticale Securis;Verticale Securis;;securis@
x118;Verticale Primitus;Verticale Primitus;;primitus@

x130;Moot 1;Moot 1;;moot1@
x131;Moo2;Moo2;;moo2@
x132;Moot 3;Moot 3;;moot3@
x133;Moot 4;Moot 4;;moot4@
